wavelength,n,k
958,1.432530,0
959,1.432470,0
960,1.432410,0
961,1.432350,0
962,1.432290,0
963,1.432230,0
964,1.432170,0
965,1.432110,0
966,1.432050,0
967,1.431990,0
968,1.431930,0
969,1.431870,0
970,1.431810,0
971,1.431750,0
972,1.431690,0
973,1.431630,0
974,1.431570,0
975,1.431510,0
976,1.431450,0
977,1.431390,0
978,1.431330,0
979,1.431270,0
980,1.431210,0
981,1.431150,0
982,1.431090,0
983,1.431030,0
984,1.430970,0
985,1.430910,0
986,1.430850,0
987,1.430790,0
988,1.430730,0
989,1.430670,0
990,1.430610,0
991,1.430550,0
992,1.430490,0
993,1.430430,0
994,1.430370,0
995,1.430310,0
996,1.430250,0
997,1.430190,0
998,1.430130,0
999,1.430070,0
1000,1.430010,0
1001,1.429950,0
1002,1.429890,0
1003,1.429830,0
1004,1.429770,0
1005,1.429710,0
1006,1.429650,0
1007,1.429590,0
1008,1.429530,0
1009,1.429470,0
1010,1.429410,0
1011,1.429350,0
1012,1.429290,0
1013,1.429230,0
1014,1.429170,0
1015,1.429110,0
1016,1.429050,0
1017,1.428990,0
1018,1.428930,0
1019,1.428870,0
1020,1.428810,0
1021,1.428750,0
1022,1.428690,0
1023,1.428630,0
1024,1.428570,0
1025,1.428510,0
1026,1.428450,0
1027,1.428390,0
1028,1.428330,0
1029,1.428270,0
1030,1.428210,0
1031,1.428150,0
1032,1.428090,0
1033,1.428030,0
1034,1.427970,0
1035,1.427910,0
1036,1.427850,0
1037,1.427790,0
1038,1.427730,0
1039,1.427670,0
1040,1.427610,0
1041,1.427550,0
1042,1.427490,0
1043,1.427430,0
1044,1.427370,0
1045,1.427310,0
1046,1.427250,0
1047,1.427190,0
1048,1.427130,0
1049,1.427070,0
1050,1.427010,0
1051,1.426950,0
1052,1.426890,0
1053,1.426830,0
1054,1.426770,0
1055,1.426710,0
1056,1.426650,0
1057,1.426590,0
1058,1.426530,0
1059,1.426470,0
1060,1.426410,0
1061,1.426350,0
1062,1.426290,0
1063,1.426230,0
1064,1.426170,0
1065,1.426110,0
1066,1.426050,0
1067,1.425990,0
1068,1.425930,0
1069,1.425870,0
1070,1.425810,0
1071,1.425750,0
1072,1.425690,0
1073,1.425630,0
1074,1.425570,0
1075,1.425510,0
1076,1.425450,0
1077,1.425390,0
1078,1.425330,0
1079,1.425270,0
1080,1.425210,0
1081,1.425150,0
1082,1.425090,0
1083,1.425030,0
1084,1.424970,0
1085,1.424910,0
1086,1.424850,0
1087,1.424790,0
1088,1.424730,0
1089,1.424670,0
1090,1.424610,0
1091,1.424550,0
1092,1.424490,0
1093,1.424430,0
1094,1.424370,0
1095,1.424310,0
1096,1.424250,0
1097,1.424190,0
1098,1.424130,0
1099,1.424070,0
1100,1.424010,0
